581
Term TF-IDF
presid -0.010661709357521
clinton -0.0039773855415968
honor 0.018457979543644
search 0.0054167284845756
forc 0.0051970129395552
vietnam 0.021804687100666
lament 0.010154728663653
anguish 0.016527659431719
know 0.0055782824039106
fate 0.0059761602713157
flew 0.0058777809015396
thi -0.0031726626710478
bustl 0.0092755107225757
citi 0.0073044642834298
known 0.0029006947731649
saigon 0.017089312503287
befor 0.0021579958520439
surrend 0.010694283456592
communist 0.015222154213209
america 0.0062345054609633
humili 0.0077686798493332
militari 0.0022173480256566
defeat 0.0025285379599642
dai 0.0013199432347265
hanoi 0.026439621656835
arriv 0.004883923636022
midnight 0.0068054857220778
saturdai 0.0036887559940798
night 0.0022113198566975
despit 0.0036545823047323
hour 0.0015692511451606
line 0.0029263206122247
rout 0.004834517900558
hi -0.014222040459552
minut 0.0035402189666804
drive 0.0045691983139362
airport 0.014910339645838
mani 0.0010440491030258
wave 0.0091833951874846
cheer 0.0055719613193753
motorcad 0.015261825420961
swept 0.0057400137626867
final 0.0022113198566975
groundbreak 0.012045627611447
visit 0.013544243916462
wa -0.01873512624594
meet 0.0050707631776896
john 0.0028922369163621
baptist 0.0089617042564932
pham 0.010154728663653
minh 0.017089312503287
man 0.0021173642796159
archbishop 0.0092755107225757
ho 0.011143922638751
chi 0.01166124519658
therebi 0.010154728663653
demonstr 0.0033761739067762
support 0.0030976663048988
right 0.0041080023178455
religi 0.0056964375010958
worship 0.0072735299828069
white 0.0019878919539058
hous 0.00088709516487677
offici -0.00072575082393221
ahead 0.0049145867742841
appear 0.0024097894720348
polic 0.0011419197775431
broke 0.0037491016809734
sit 0.0054937128269884
peasant 0.0096595787971269
camp 0.0049701132152793
beneath 0.0059761602713157
protest 0.0046943891190408
banner 0.0082638297158595
sever 0.0019680511532671
month 0.0018125456689226
govern 0.0021438969664997
offic 0.00087398641608966
decis 0.0023349441847031
allow 0.0031268951668821
land 0.023187990955649
suggest 0.0037491016809734
gradual 0.0082638297158595
loosen 0.0086963846698714
control 0.0022056487794223
peac 0.006865966734269
overnight 0.0064378883033203
dispers 0.0076309127104803
reveal 0.0057400137626867
limit 0.0053826310350133
regim 0.0041896066278533
toler 0.0072735299828069
sensit 0.0079184412555116
intern 0.0022515493768099
scrutini 0.0086963846698714
dure 0.0016249058450624
leav 0.0026053575021686
