147
Term TF-IDF
investig 0.01020872434233
bomb 0.0037604749854763
uss 0.007837216783625
cole 0.00082840406611848
turn 0.010382578017545
lead 0.010047950506043
everi 0.01569497795933
dai 0.0017389728330524
ident 0.021866122505662
culprit 0.032661803162683
remain 0.0051448052843227
unknown 0.02251449107576
walter 0.065323606325366
rodger 0.076356670491574
report 0.0026841212085043
yemeni 0.011652683492017
fish 0.028747761360618
boat 0.035049867343557
pass 0.016922790039005
crippl 0.044365170394112
destroy 0.0097550288090334
coast 0.009424364189541
guard 0.012792624692747
mile 0.021773427765073
coastlin 0.03070478226165
yemen 0.0095137826536378
appear 0.0095244060085185
ideal 0.03070478226165
locat 0.041200241206782
strike 0.012957547220706
american 0.003671850736951
warship 0.015330459278145
port 0.023394023724003
refuel 0.010241144210272
histor 0.023422867896335
water 0.02375831583951
easili 0.024471511976792
tradit 0.020996507733486
smuggl 0.04013535614682
privat 0.019005557978637
offici -0.0043026655990267
believ 0.018376231838456
attack 0.0027744634200558
wa -0.031735009763531
hatch 0.024471511976792
elsewher 0.020105159009633
islam 0.012915940234193
world 0.0058263417460085
navi 0.0037604749854763
diver 0.011843634491312
work 0.0047589142543854
try 0.0077396150937737
recov 0.011498244522785
clue 0.024248451957588
thei -0.010085507702831
accord 0.011950766171367
sourc 0.013343925441068
look 0.0082841233092399
bodi 0.0067998168728158
pilot 0.021417428847215
nearli 0.013992294011165
sink 0.02171324593524
tell 0.014496429876157
wai 0.015916520868548
ani 0.0053736028309794
conclus 0.067543473227279
preliminari 0.025711794676071
lot 0.012133155677834
rumor 0.022346514119363
specul 0.020861795983172
pitch 0.032661803162683
tent 0.019424319155504
instant 0.036660351903514
crime 0.014548960801966
lab 0.032661803162683
ramp 0.033463048303202
suicid 0.013568458070103
launch 0.019643780803247
hous 0.0035061380326082
explos 0.0056959341534389
devic 0.027946516220098
fbi 0.0097290145475476
avent 0.047608909130956
remov 0.016349590422558
deal 0.013753577549864
evid 0.012023136227184
polic 0.0045133019779085
thi -0.0094046786320346
neighborhood 0.016997958992655
bomber 0.017150835563078
limit 0.021274208376481
citi 0.0072175063752937
aden 0.011164156846259
number 0.01217022781911
detain 0.022686721062047
question 0.0078964571094195
figur 0.015632852220804
earli 0.011010967950409
talk 0.0098600922269074
retali 0.044045027572205
becaus 0.0045374679752171
known 0.011464650770128
word 0.014655255481578
senior 0.012915940234193
ha -0.0045390733987149
oper 0.0088989808702486
quit 0.01842211021158
befor 0.0042646108504677
cnn 0.020105159009633
