320
Term TF-IDF
possibl 0.0079682783768639
pardon 0.037670558060401
michael 0.0097084042004374
milken 0.14578820971798
wall 0.0078786650867887
street 0.0041735911316083
financi 0.016431636186147
wa -0.048594233700407
convict 0.0078069791021397
secur 0.012057582681143
fraud 0.015084638522375
ha -0.006255410527604
seri 0.0098386313766892
strong 0.0065880016063401
protest 0.0042616251221292
prosecutor 0.015213509067392
regul 0.013854875889966
white 0.014437065315241
hous 0.0064425286349175
urg 0.01447736509454
presid -0.008798939114659
clinton -0.0020059557288782
reject 0.0083781922772322
request 0.0082556275486282
oppos 0.019416808400875
mari 0.01157085242577
jo 0.014376919904538
attornei 0.016198689968665
york 0.018699031277861
offic 0.0031736631734256
prosecut 0.020380250149795
richard 0.0092358074200502
walker 0.087560754940238
director 0.0068322665214943
enforc 0.0086843810533578
exchang 0.01181135567932
commiss 0.010979766419943
written 0.018694852856363
letter 0.019906052991089
administr 0.016979285966342
offici -0.0026353826794039
sundai 0.0033822111863849
erron 0.018437179229945
report 0.0024660363603133
saturdai 0.0066973976017512
feder 0.0043985083179367
object 0.020530859847164
sinc 0.002525606988742
newspap 0.0085937950006289
month 0.0032909032301376
grant 0.0083781922772322
thei -0.0023165150504941
felt 0.0074791858008203
especi 0.0080240401356478
inappropri 0.015004015827857
candid 0.0043407432720801
becaus 0.0020843993511153
charg 0.012169369395562
violat 0.032015537848073
order 0.016519384494569
stai 0.0053131008615705
industri 0.032831269507351
hi -0.025821892209373
origin 0.0096452707400702
plea 0.024712420028295
bargain 0.013854875889966
dec 0.0094631804021827
beth 0.021870342632033
nolan 0.070152691014134
counsel 0.011241600814339
fail 0.0066353509970295
live 0.0040252582027367
commit 0.0071813414889318
duti 0.011241600814339
enter 0.016591901377481
releas 0.0099739516273645
prison 0.0078299516082746
halfwai 0.017538172753533
form 0.0070153732848257
compani 0.0074791858008203
provid 0.013415496114569
consult 0.03543406703796
servic 0.007866979562946
prove 0.0095227060114662
exactli 0.010342594337927
activ 0.007125033659236
perform 0.01094375650245
serv 0.0063096764085046
broker 0.014674764216427
sec 0.05052254746703
transact 0.030744175628567
multimillion 0.019704257692783
dollar 0.0092358074200502
deal 0.0063180496869688
rupert 0.021870342632033
murdoch 0.039408515385567
news 0.004511663455681
corp 0.037068630042442
mci 0.021870342632033
commun 0.012508108553041
ronald 0.013854875889966
perelman 0.039408515385567
world 0.0026764757395726
group 0.0031392131717001
su 0.017538172753533
agre 0.014713242144433
return 0.0037387227089798
fee 0.015372087814284
settl 0.010759879939879
complaint 0.012071923207255
page 0.010044750026039
conclud 0.0090755158750891
doe 0.0069094309358392
merit 0.013854875889966
includ 0.0031548382042523
benito 0.021870342632033
romano 0.021870342632033
senior 0.0059332600450825
justic 0.0057663063992276
treasuri 0.019704257692783
depart 0.0040460223987325
professor 0.0094047674865198
david 0.0084626568784444
ruder 0.021870342632033
northwestern 0.018437179229945
univers 0.0077397533287549
law 0.0098900577502886
school 0.0075743708242101
chairman 0.0085937950006289
telephon 0.0073566210722163
declin 0.0094047674865198
tent 0.0089230466120596
decid 0.0069885490857901
act 0.0052665739475275
associ 0.0064277100613791
thi -0.0014400914155303
weekend 0.0084201392157701
howev 0.0063396760708581
weigh 0.013854875889966
view 0.0080614657326688
oppon 0.0077397533287549
decis 0.0042393830353515
dai 0.00079884064518343
plead 0.018256076239656
guilti 0.016275378047364
count 0.0070972556985571
nearli 0.0064277100613791
paid 0.010759879939879
fine 0.0090755158750891
penalti 0.011347543163325
restitut 0.016840849155677
civil 0.0080993449843323
settlement 0.015372087814284
bar 0.0087776715632005
busi 0.0064726748659169
life 0.0053445081611127
mount 0.0098386313766892
aggress 0.01181135567932
campaign 0.0036002214599777
seek 0.0071530607529321
case 0.0040149276148164
press 0.0064054679746014
directli 0.010342594337927
ron 0.011457203537736
burkl 0.016840849155677
friend 0.0071530607529321
major 0.0042616251221292
democrat 0.0017423846925553
fund 0.0078084374122511
raiser 0.013016550931857
cooper 0.0075105931003625
fulli 0.0099745223515009
investig 0.0015632109149193
promis 0.0067569616728098
appeal 0.0069355817160596
basi 0.013206002875034
record 0.0073267165377909
charit 0.015789373416235
wrote 0.0091814582240756
known 0.0052665739475275
philanthropi 0.031578746832471
commend 0.018437179229945
eras 0.014376919904538
simultan 0.015372087814284
illeg 0.0097084042004374
conduct 0.017650764827219
occur 0.0081765093986772
licens 0.010850465992608
