247
Term TF-IDF
ski 0.021079960214666
sea 0.015935803407758
calm 0.026403562947103
norwegian 0.024074153453566
diver 0.042291844620797
start 0.0064426634444959
carv 0.019438401072528
hole 0.022065499092614
russian 0.026442906414056
nuclear 0.011560222331413
submarin 0.03072612791313
kursk 0.022133926028463
saturdai 0.030368766453285
tricki 0.021079960214666
mission 0.010643974857423
recov 0.020529254390883
men 0.0042954390168752
kill 0.0018697086828312
sank 0.024991794630141
fierc 0.017108991578991
storm 0.012415724734924
arctic 0.021079960214666
site 0.018389650393022
barent 0.025492810044863
forc 0.0020374254506623
suspens 0.018625969107094
oper 0.00529615460699
fridai 0.0034762149393698
wind 0.042908183070254
lessen 0.028334047134618
overnight 0.015143372891616
head 0.0055647454901347
vladimir 0.0099834418991795
navrotski 0.048616729174453
spokesman 0.0059637923203191
navi 0.0022380154771863
northern 0.010300252412944
fleet 0.0094157117724239
work 0.0084966849643076
cut 0.023134730058022
rubber 0.014057283877063
cover 0.010542755010438
outer 0.017649604504597
hull 0.017572436477314
abov 0.012415724734924
ninth 0.02742989254742
compart 0.027911286758601
weather 0.011311000092549
permit 0.016008045362458
thicker 0.022721519356804
inner 0.014990578041483
sundai 0.0087636241266653
ventur 0.017370281138253
insid 0.0075892536957382
afterward 0.017949636780523
wa -0.031478046121721
onli 0.0028322283214359
becaus 0.0054008728126066
strong 0.0085350628098334
regul 0.017949636780523
prevent 0.022383831074116
resum 0.014178146076049
wave 0.010800713773135
feet 0.0098972985856278
famili 0.0049053127971008
member 0.0051616378149726
crew 0.0056984723147358
wait 0.017009472407285
anxious 0.025527783245711
helicopt 0.028862529860449
deliv 0.013825873294715
bodi 0.016187418304517
alreadi 0.020115490570273
dive 0.015639738568103
ship 0.0069672949596585
home 0.0027731238703381
port 0.0092818393722763
severomorsk 0.06136760518051
pull 0.0075892536957382
wednesdai 0.0046525702927277
eighth 0.015467432436853
memori 0.011076233867244
ceremoni 0.011625001041318
initi 0.0089514894715326
plan 0.0043061354114616
postpon 0.016863547765969
gale 0.019915255467898
bring 0.0079415264770728
ashor 0.025527783245711
night 0.0052015256548228
trip 0.0088515193800736
concern 0.0085350628098334
chill 0.016863547765969
discoveri 0.017649604504597
offici -0.0017071304805855
pocket 0.015639738568103
sai -0.0018023923557238
sailor 0.0059369103604283
remain 0.0061237763303274
trap 0.0098129500556568
aliv 0.0082133455169012
sever 0.0046293025103165
hour 0.0036912344750538
power 0.002199639995589
explos 0.0033898879374718
aug 0.013606977662041
mani 0.0024558401978057
question 0.0046995109112739
riski 0.017370281138253
expens 0.015639738568103
recoveri 0.011496463801178
effort 0.0058839360233645
ha -0.0054027837215473
reviv 0.016632137183621
emot 0.012661168547946
debat 0.0082699699783374
author 0.0041280318921032
handl 0.01310651630185
accid 0.025322337095892
includ 0.0040872397787884
dai 0.0010349352488206
delai 0.013939925428183
announc 0.0063351726263011
befor 0.0025380477531123
accept 0.0078892859716642
foreign 0.010349780288609
help 0.0031656013812378
fail 0.0085964061499978
rescu 0.0057901422610911
attempt 0.0086274299262956
mayb 0.024368628305152
thei -0.009003459305564
retriev 0.014302727690085
orthodox 0.02968668123138
priest 0.017370281138253
daniil 0.025527783245711
topolev 0.045443038713609
compar 0.014431264930225
thi -0.0018657054776101
peopl -0.00079322756619325
buri 0.0078121677734023
uncov 0.017108991578991
speak 0.0077867847247643
ground 0.0085964061499978
hi -0.0041816829488864
church 0.010643974857423
murmansk 0.021818104169298
immedi 0.0080480742840257
signific 0.013201781473552
tradit 0.012495897315071
repent 0.043636208338595
onc 0.0075892536957382
cross 0.011625001041318
themselv 0.010207177440374
lord 0.021079960214666
caus 0.014619860658789
disast 0.0092308128378765
determin 0.0087862182386571
focus 0.012337109002709
theori 0.014178146076049
blast 0.0064974983639605
set 0.0036363995555892
collis 0.013825873294715
anoth 0.0047589625375206
possibl 0.0051616378149726
torpedo 0.010207177440374
explod 0.01189500660609
tube 0.01827369632576
