486
Term TF-IDF
investig 0.0051463733824503
widen 0.010396295253488
probe 0.0070267298431985
bomb 0.011374276190638
uss 0.0047410323752793
cole 0.00029232777230313
saudi 0.016989733657748
arabia 0.017796113047729
eastern 0.019567087936799
yemeni 0.029958905397686
provinc 0.014169389221239
known 0.0034677030107177
outlaw 0.009879187376367
tribe 0.019324792383772
offici -0.0043380784846154
thursdai 0.011626242333605
fbi 0.0088281798672192
director 0.013495835104186
arriv 0.0058386000669316
tour 0.012384878994594
warship 0.0092739815386311
loui 0.0045323438202754
freeh 0.019434333583584
held 0.010048590210635
talk 0.0029823735748053
presid -0.0023174160631201
ali 0.0063507955490174
abdullah 0.0063923649056378
saleh 0.020384535516062
told 0.0085179448447091
news 0.0029706426045636
confer 0.0055165052031158
hi -0.0042505172361108
agenc 0.0040095753806606
support 0.0012343924027066
yemen 0.00095920853915278
junior 0.009879187376367
role 0.0051875984110543
countri 0.00050907031546058
invit 0.0074018770794001
compliment 0.01108862495847
author 0.00419598303436
polic 0.0027302690977471
work 0.001439424681882
case 0.0026435737381507
devast 0.0056005010766143
ha -0.0041187888247599
slow 0.0066611307130803
recoveri 0.0058428530018332
dead 0.0090683984860443
th 0.0040902764365316
bodi 0.0041134694662713
wa -0.031996203259527
pull 0.0038570898412497
wreckag 0.0074018770794001
search 0.0097133310170938
presum 0.0068099386587174
continu 0.0055247647383981
attack 0.0029371634354295
refuel 0.0092928901167287
oct 0.0044166242352489
describ 0.0048438657265622
crime 0.0044006116005945
scene 0.0047662107307127
tangl 0.0094662847108071
mess 0.0078610201891001
metal 0.0067591308138813
wire 0.0084529586097828
earli 0.0033304779603089
specul 0.0063100494023174
mai 0.0022049045602473
sponsor 0.0078610201891001
respons 0.013956816577289
kill 0.0028507286707364
sailor 0.0030173186399707
injur 0.0029427266224064
look 0.0025056916182269
thi -0.0028446250183314
open 0.0014281087239272
mind 0.0066611307130803
interview 0.0039066732807128
cnn 0.0060811900708149
ask 0.0029903954686647
osama 0.009808185701273
bin 0.011049529476796
laden 0.011107287276456
possibl 0.0078699045697421
element 0.0079485914121841
afghanistan 0.0099322722781071
involv 0.0035399073724693
commit 0.0047284553013543
determin 0.0044654236727331
exactli 0.0068099386587174
carri 0.0061447658696224
govern 0.00064074286910306
forens 0.0080400559442228
preliminari 0.0077770243156016
judgment 0.0094662847108071
secur 0.0022683283115613
earlier 0.00325598609063
aden 0.0084420321831276
equip 0.0048438657265622
yield 0.0096623961918859
document 0.011750514057033
thei -0.0076263869975113
believ 0.0074109906179783
origin 0.0063507955490174
hadhramaut 0.042264793048914
vehicl 0.0058752570285166
contain 0.0062700944931464
trace 0.017141137029607
condit 0.0074074593044641
anonym 0.011033010406232
dispatch 0.007144339748219
seek 0.0047098342406137
inform 0.0063330211033187
try 0.0023409946888575
identifi 0.0092030276026866
men 0.0043661458319678
sinc 0.0049888533110954
conserv 0.0076963232597307
region 0.0062463815592947
border 0.0056584658440355
oman 0.01154776806817
home 0.002818771999891
lawless 0.010713477722269
kidnap 0.0068099386587174
foreign 0.0026300367605827
ransom 0.012139706488853
anoth 0.002418649684707
team 0.0034983380158489
neighbor 0.0049661361390536
provid 0.0044166242352489
lead 0.0030391949061489
took 0.0085743076979361
mani 0.002496265550856
settl 0.0070846946106197
question 0.0071653036733621
owner 0.0081357761410024
weld 0.020243078603172
shop 0.0058752570285166
suspect 0.0055681594428287
elabor 0.0078610201891001
landlord 0.010121539301586
real 0.0052589678719347
estat 0.0082361674253017
agent 0.0038570898412497
onli 0.001439424681882
non 0.0079485914121841
arab 0.012921202863038
boi 0.0063100494023174
beard 0.0081357761410024
man 0.007593757076894
wear 0.0064347914225159
glass 0.0076963232597307
chang 0.003658752710231
watch 0.0043533080651527
car 0.0085536161169649
port 0.0023586567129138
dai 0.00052598560999732
wednesdai 0.0070937337179243
popular 0.0044327624604774
satellit 0.008970066486904
station 0.0038448784512912
jazeera 0.012139706488853
accord 0.0036147379160308
child 0.0060811900708149
sea 0.0040495302898316
rubber 0.014288679496438
boat 0.0053007515426985
atop 0.0088281058459843
return 0.0049234208513314
appar 0.0063155466552469
abl 0.0043070676210127
pack 0.0070267298431985
explos 0.0034456885619569
maneuv 0.0074018770794001
suicid 0.0041040397866361
bomber 0.0051875984110543
deton 0.0072690817684174
tear 0.0049661361390536
servic 0.0077698563584652
norfolk 0.0050518824279436
va 0.0064781111945279
clinton -0.00026415877911154
mourn 0.0080400559442228
sternli 0.012973996834754
warn 0.0040766045379335
organ 0.0039192581099667
safe 0.0058109513834464
harbor 0.0037848854794981
justic 0.0037967449542239
prevail 0.0078610201891001
aboard 0.00417427231003
memori 0.0056292793522825
sundai 0.0022269703284839
bail 0.01154776806817
water 0.0035930786300493
crippl 0.0067095473744182
vessel 0.0048046719097501
crew 0.0028961371640735
member 0.0026233015232474
death 0.0025701988813629
toll 0.0048838206357332
claim 0.0072077595476959
deadliest 0.0086953105350017
terrorist 0.0033428025446506
militari 0.001325390126447
air 0.0029115500688661
forc 0.0010354816590815
barrack 0.0070267298431985
washington 0.0026032270892034
gen 0.0052349019464961
anthoni 0.0076186682638812
zinni 0.012620098804635
command 0.0062292704064195
chief 0.0028808388544284
central 0.0050518824279436
pentagon 0.0029903954686647
contract 0.0070267298431985
decemb 0.0050738891956736
decis 0.0027913633154578
ship 0.0035409914712667
pass 0.0051186216784645
buck 0.009879187376367
nobodi 0.0068620329138291
senat 0.0017446643493916
arm 0.0036923929118803
committe 0.0044490282619324
hear 0.0046015138013433
coastlin 0.0092872489556844
siev 0.0088281058459843
option 0.0056584658440355
avail 0.0064781111945279
navi 0.0011374276190638
volatil 0.0084529586097828
consid 0.0040766045379335
credibl 0.0061546840679385
london 0.0068620329138291
base 0.0027056170265677
newspap 0.0056584658440355
hayat 0.012973996834754
publish 0.0069703533530995
statement 0.008126045767096
egyptian 0.0066138271776386
milit 0.0056292793522825
leader 0.0011276527162684
rifai 0.012139706488853
ahm 0.0086953105350017
taha 0.040486157206344
cite 0.0069154804167165
soldier 0.0035823338893474
offic 0.0010448273821977
son 0.0036811182909654
egypt 0.014538163536835
learn 0.005748594697242
lesson 0.0084529586097828
american 0.0011106215192012
destroy 0.0029505951335965
suez 0.0075438377203197
canal 0.0067591308138813
befor 0.0012899131584748
ey 0.0054358041472449
dozen 0.0043533080651527
jewish 0.0085705685148033
cross 0.0059081795415751
attribut 0.0092872489556844
gamaa 0.012973996834754
islamiya 0.012973996834754
islam 0.0039066732807128
group 0.0020669716356873
massacr 0.010396295253488
western 0.0036811182909654
tourist 0.0084529586097828
luxor 0.012973996834754
hide 0.0058109513834464
