466
Term TF-IDF
characterist 0.011564531609048
defiant 0.011173283633096
slobodan 0.003984648252678
milosev -0.0050623809338333
stage 0.0065808669732324
hi -0.033247071514215
polit 0.0051242969424636
comeback 0.0086997224529703
saturdai 0.011497678286268
win 0.0028217379289955
elect 0.00026861615075809
leader 0.0023520996571091
socialist 0.065254151317997
parti 0.039251848174089
serbia 0.026063988490997
denounc 0.018136999656699
coup 0.011338200925155
popular 0.013869029329133
upris 0.013246723763187
swept 0.0071565407642081
power 0.0046636144112487
month 0.0067795431350474
public 0.0034148881347435
appear 0.003004480006979
sinc 0.0052029671871081
accept 0.008363320321893
defeat 0.0063050667585372
resign 0.003266193326865
yugoslav 0.016297366647437
presid -0.0048337519599844
oct 0.0092123578469141
dai 0.00054856009969678
aggress 0.008110802183224
open 0.0014894009438382
speech 0.010491986054292
congress 0.025152277313701
everybodi 0.008110802183224
thi -0.0069223278343087
hall 0.015735215159122
know 0.0034774485801202
violenc 0.0037472880133132
lawless 0.011173283633096
ha -0.0042955608773247
place 0.0027358895714554
octob 0.0054846746475543
situat 0.0048736519818418
absurd 0.013530820733242
biggest 0.00694701615141
defend 0.0041139598224595
state -0.00087074994804006
nation 0.0010003762876143
main 0.0042658247814471
target 0.0053859941470353
attack 0.00043760313599593
applaus 0.01030318683458
wa -0.020021658520339
close 0.0022711124238845
news 0.0030981379953174
media 0.0052916526804664
film 0.01055594012998
text 0.02060637366916
releas 0.003424532747593
agenc 0.0041816601609465
foreign 0.0027429138747708
report 0.0008467077631977
outsid 0.0034148881347435
exud 0.015018261034873
confid 0.0058708793244834
emerg 0.0044292611783689
impos 0.006849457408756
seclus 0.013530820733242
percent 0.013698130990372
vote 0.0029242272768383
cast 0.006196643300595
deleg 0.0096858433314648
accord 0.0075397537647681
zoran 0.025155368168834
nikol 0.012660723934726
justic 0.0039596953814438
minist 0.0027999517241371
transit 0.006196643300595
govern 0.00066824256305598
senior 0.0081486833237185
member 0.013679447857277
resound 0.013530820733242
local 0.0046916851649746
failur 0.0089384040733785
race 0.0030854678352684
sept 0.012536361366287
fall 0.0054846746475543
ahead 0.0061274139825302
dec 0.0064983213062199
legisl 0.0065391972610926
real 0.0054846746475543
li 0.0075150259244294
feder 0.0030204348964372
lead 0.006339264911538
fierc 0.0090684998283494
intern 0.01122875697791
critic 0.0039596953814438
man 0.0026398897992636
led 0.0041954603547883
lost 0.0034635505997028
war 0.0064750449921619
bequeath 0.015018261034873
successor 0.0071565407642081
ruin 0.013995021562091
economi 0.0051145689386467
onli 0.0015012025652246
candid 0.0089423037364741
propos 0.0071565407642081
built 0.0072695101493699
ago 0.0031103724406768
leagu 0.01055594012998
communist 0.0047446736040098
ran 0.00694701615141
yugoslavia 0.0046566808438297
world 0.0036758465092843
twice 0.006897682421314
televis 0.003169632455769
urg 0.0049707691311725
offici -0.00090485242211291
unit 0.00084961748940186
decemb 0.0052916526804664
signal 0.0073887587569983
determin 0.0046570727573998
continu 0.0028809395524265
despit 0.0045564642039688
indict 0.011681731859376
crime 0.0091789581025276
forc 0.0032397687960103
serbian 0.0079442710962968
refer 0.017433799577911
tribun 0.01389403230282
suspect 0.002903568121475
atroc 0.0096858433314648
commit 0.0049313932971206
secur 0.0011828407289901
kosovo 0.016837399483579
gestapo 0.015018261034873
hagu 0.013421925456406
commun 0.0085892590922167
accus 0.0043238262243396
serb 0.016245185994421
genocid 0.021684976365645
albanian 0.0064582094328033
counter 0.0083851227229448
alleg 0.0053383050123042
persecut 0.018413989017804
minor 0.0067109627282032
kill 0.00099102584690836
thei -0.0015907399488371
suffer 0.0099019818026672
nato 0.0050934266716016
troop 0.0046230097763777
enter 0.0056967901725256
june 0.0068022923728788
withdrew 0.0090684998283494
carri 0.0032042448633439
estim 0.0053383050123042
remain 0.003245864278092
todai 0.0015571515787649
greatest 0.025454853248029
centuri 0.0075810595267186
mayb 0.0064582094328033
moment 0.004237401548078
hero 0.0090684998283494
told 0.0022208804691677
remark 0.006897682421314
rival 0.019617591783278
leadership 0.014313081528416
discuss 0.0054846746475543
andjelkov 0.027061641466484
gener 0.0024111135437738
secretari 0.0032129859049482
peopl -0.00084088930836795
nomin 0.0077195542072713
refus 0.004398604617752
run 0.0022767670325497
quit 0.011622533051941
attend 0.0055881126342879
meet 0.0031610658865211
prepar 0.0043385748923391
feel 0.0038274117696172
pretti 0.0065808669732324
fresh 0.0085896510057867
anyth 0.0047446736040098
late 0.0035850503722339
insist 0.0050108810045891
rank 0.0063801672779302
file 0.0061274139825302
role 0.0054102421196833
build 0.0020820410343775
sustain 0.0092069945089021
enorm 0.0077923043181634
zarko 0.011173283633096
obradov 0.012660723934726
execut 0.0052235224265725
board 0.0059013184553675
undisput 0.013530820733242
area 0.0027499612464472
becaus 0.0014313471938989
presidenti 0.0025738561969744
compar 0.0076491897806126
vojislav 0.0047446736040098
kostunica 0.0015370019213618
democrat 0.0011964873425272
opposit 0.0012731355884544
opinion 0.0078676075795609
poll 0.0040874666125404
support 0.001287370617415
person 0.0042801788332728
rate 0.0089384040733785
slip 0.0075150259244294
lilic 0.037982171804179
establish 0.0064582094328033
befor 0.0013452742382376
gather 0.0050517569594619
ticket 0.0090684998283494
surviv 0.0046570727573998
realli 0.0042093498708948
shaken 0.0095140778643542
realiz 0.0074509637717477
plai 0.0027429138747708
hand 0.003257233302379
destroi 0.0058408659296879
