101
Term TF-IDF
vietnam 0.041810307608867
airlin 0.14611093368032
sign 0.074475874448865
letter 0.042045788496029
intent 0.065537231448251
fridai 0.017002477030185
purchas 0.038247677488331
er 0.062429331303868
aircraft 0.1300965376454
seattl 0.044689138539234
base 0.013019107672395
boe 0.11682965056599
sever 0.011321165545031
deal 0.020017583166634
connect 0.026030314750332
presid -0.011151130759172
clinton -0.0025422013197665
visit 0.025970975958629
rai 0.043162894184508
braci 0.17524447584898
vice 0.016492978702824
commerci 0.032768615724125
airplan 0.047537475890241
group 0.0099460219301389
sale 0.040674632518361
worth 0.036660126497488
expect 0.01446708292309
nation 0.0092311950500644
carrier 0.073320252994976
deliveri 0.062429331303868
bind 0.053357145839767
contract 0.03381178914648
indic 0.023998006571755
direct 0.024204284659902
ha -0.0066063741545653
real 0.025305528571884
commit 0.022752765113447
bui 0.030363208015112
fly 0.058523928206258
nonstop 0.055566487931987
hanoi 0.021727609876409
pari 0.047537475890241
mai 0.010609738775051
directli 0.032768615724125
unit 0.0078400346546785
state -0.0040175195622442
countri 0.0024495858743945
civil 0.025661291039469
aviat 0.058414825282995
agreement 0.052312887436852
subject 0.02998235374949
protract 0.053357145839767
negoti 0.023998006571755
separ 0.028429457992134
trade 0.021408195399001
develop 0.043948240577011
agenc 0.019293600346545
grant 0.026544767611033
help 0.0077416192194627
inform 0.015236872555509
technolog 0.029089768630734
relat 0.018981240368972
servic 0.012462541881895
ceremoni 0.028429457992134
ti 0.02452199074457
memorandum 0.069292174675749
understand 0.027514870664104
oracl 0.069292174675749
corp 0.078296776327271
trac 0.069292174675749
hold 0.017876760310499
caterpillar 0.058414825282995
corn 0.062429331303868
intern 0.012951982058679
