696
Term TF-IDF
republican 0.033325140597993
score 0.0047552157875527
import 0.0024285085414503
victori 0.0063838652835599
tuesdai 0.0048917175286746
gov 0.0089278274012646
georg 0.005581217922133
allen 0.017403550164934
defeat 0.02532897508171
sen 0.021684159240162
charl 0.0053199321497791
robb 0.0096578260992075
virginia 0.017871049825674
turnov 0.007259482030453
led 0.0056180589808372
democrat 0.027237277952588
leader 0.0015748253451334
sai -0.00031982105737341
thei -0.0095855795192858
regain 0.0063700578804441
control 0.0092060484256062
senat 0.013400827028517
final 0.0036918874619001
result 0.0048146542043454
state -0.0046640169630651
hope 0.0017720093957841
win 0.0075570682466202
tom 0.0082978039599922
daschl 0.0064850617707796
south 0.0026102386378714
dakota 0.0056141769955349
minor 0.0044932595277913
leav 0.0021748745815516
hand 0.0021808487340641
seat 0.052628929951004
wa -0.031279046979572
joseph 0.0045859872880464
lieberman 0.0048289130496038
connecticut 0.011804993920559
elect 0.00022481164916176
vice 0.004786755313176
presid -0.0032363913984953
john 0.0048287058862252
rowland 0.0068983980817735
appoint 0.0068205081292136
succe 0.0107483135179
dick 0.0048672294965609
chenei 0.0044636341151436
cast 0.0082978039599922
tie 0.0051214402841458
break 0.0027544616052674
vote 0.0078315512126818
william 0.0018506934265456
roth 0.019626383355141
delawar 0.0098941424734517
term 0.0068785873292169
incumb 0.021891278187279
head 0.0059245350692382
financ 0.0045235086789376
committe 0.00310664904497
rod 0.0053199321497791
gramm 0.0084768640137679
minnesota 0.011804993920559
freshman 0.013494036061082
ashcroft 0.004885609987651
missouri 0.0086262817607176
vacat 0.021070719149859
florida 0.0071801723331044
retir 0.020060263439851
conni 0.007259482030453
mack 0.013220156234058
incomplet 0.0074809628922738
return 0.0017189529696459
hous 0.0059241642619931
repres 0.0036892138554702
suggest 0.0031296380411574
bid 0.0042976673233019
captur 0.0073784277109405
falter 0.008063527702774
held 0.0093555839892123
sharpli 0.0062635809089588
contest 0.01266408030907
kentucki 0.0074809628922738
rep 0.025824496988292
ann 0.0066100781170291
northup 0.008063527702774
louisvil 0.008063527702774
erni 0.008063527702774
fletcher 0.008063527702774
lexington 0.008063527702774
frankfort 0.008063527702774
area 0.0036824193702425
presag 0.0084768640137679
seri 0.0045235086789376
parti 0.005475144052061
danger 0.0031296380411574
thi -0.0019863329869383
fall 0.0073444206487365
samuel 0.0070676265812798
gejdenson 0.008063527702774
veteran 0.0086480620565699
appar 0.0022049968925646
lost 0.0046379729294871
robert 0.0033549864197393
simmon 0.0084768640137679
took 0.0019957440331403
open 0.0069804969522993
oklahoma 0.011362032196917
pennsylvania 0.0098941424734517
swap 0.0074809628922738
island 0.0099774399932024
race 0.018592603593557
run 0.0045731613671042
net 0.0033414954134895
gain 0.010818419278097
retak 0.013494036061082
assur 0.0048289130496038
pickup 0.006747018030541
california 0.0046851149769644
matthew 0.0068983980817735
martinez 0.006747018030541
onli 0.002010231021249
becam 0.0063060017170039
spring 0.0047552157875527
lose 0.0034387061153197
primari 0.011502233818094
sever 0.0016428702874255
close 0.0060824045375297
anticip 0.0058248141710979
west 0.0027105199050202
coast 0.0019904907124462
talli 0.0061644532200408
expect 0.0041987798138852
befor 0.00090071522272808
wednesdai 0.0016511276757238
earliest 0.0070676265812798
washington 0.0054533119196244
ha -0.0019173672115261
hotli 0.0068983980817735
fought 0.0086480620565699
competit 0.0053741567589499
battl 0.0035585072775884
offici -0.00030291754935676
estim 0.0035742099651347
mani 0.001743081979477
absente 0.007259482030453
ballot 0.0066297751724755
sure 0.005910537987475
count 0.0032631060683021
featur 0.0057511169090469
bizarr 0.006747018030541
late 0.0048006709007501
governor 0.0060669080247403
mel 0.0033148875862377
carnahan 0.0042237777058378
widow 0.004324031028285
jean 0.0037414662177847
accept 0.0027997897054613
dead 0.0021107479234758
husband 0.0029655685475861
feder 0.0020223026749134
judg 0.0034244096629445
order 0.0025317064359492
poll 0.0054734466708156
extra 0.010639864299558
hour 0.0039298918764582
st 0.0063296525765916
loui 0.0063296525765916
sought 0.0042463482391035
extend 0.0048289130496038
becaus 0.00095834452924843
huge 0.0036892138554702
line 0.0024428049938255
heavi 0.0075913816539109
turnout 0.0048672294965609
complain 0.0047552157875527
unfair 0.0063700578804441
appeal 0.003188773202786
conced 0.0041025501664642
vow 0.0088123103722019
fight 0.0033549864197393
outcom 0.0041726509770524
court 0.0014184518216184
bitterli 0.006747018030541
televis 0.0042443928861734
compet 0.0060717254597857
candid 0.0019957440331403
liar 0.0077429191520352
unspectacular 0.0084768640137679
roll 0.0053199321497791
rural 0.0063700578804441
black 0.0038713283750667
help 0.0011234246281117
fell 0.0075547752579988
overwhelm 0.0053199321497791
major 0.0019593678722433
percent 0.0022928624430723
record 0.0033686053047314
ago 0.0020825194789589
lt 0.004196799135553
col 0.0057511169090469
oliv 0.0077429191520352
north 0.0033148875862377
onc 0.0053866254679521
odd 0.006747018030541
veri 0.0019527055416786
jennif 0.0042976673233019
duffi 0.014518964060906
