t_index    term   df
cde4215d   defac   1
6514658f   default   4
b7e7698d   defeat   252
b8799b2d   defect   3
ea51b862   defenc   4
ef01ff7c   defend   161
9a8aa92e   defens   266
c1a14561   defenselink   3
a303d550   defer   2
cac42f3e   defi   6
79e3c39e   defianc   7
0c6895cc   defiant   6
5113df89   defiantli   2
3ff2e059   defici   1
784febf8   deficit   14
4c21a4e6   defin   7
db3594f0   definit   41
082f7482   deflat   1
85af1a76   deflect   6
0524b4e0   defoli   1
a679689d   defolt   3
121047a1   deforest   14
2933ff06   defraud   3
2a1125a8   defunct   2
07854544   defus   3
07156c8b   degr   1
95299405   degrad   4
38c1c524   degre   35
953c229a   dehuman   1
f2a8fa2d   dehydr   3
2d0fdf7f   delai   35
e26bd458   delawar   35
8e8e7506   deleg   12
a38d8e27   delhi   31
97199514   deli   2
aa042aff   deliber   16
a99a1dda   delic   7
ec42101c   delici   1
a4f463fe   delight   5
b22ac981   deliv   36
c1fd892f   deliveri   2
fc725003   dell   1
f2ba7045   delsaut   2
f399bbde   delta   15
31b83149   delus   2
5a7fcb60   delv   1
63bcb8ce   demaci   1
ef4634ad   demagogu   2
979900e2   demand   98
7a307a23   demarc   1
75c06f77   demean   1
601ef8d8   demeanor   2
d8269a3b   dementieva   7
35e3ffc9   demick   1
d17ea265   demilitar   1
5eedd497   demis   6
e1224937   democraci   126
b75124d6   democrat   627
eb35eebe   democratich   1
1578c671   demograph   1
1f2bd4eb   demolish   6
98a734a9   demolit   9
5b0fde0f   demon   4
5c856413   demonstr   154
fd02456c   demot   2
0109284c   demur   1
5b293d01   demystifi   1
91a9a5e0   dengu   1
988767b4   deni   111
519f3d17   denial   5
8d5b7482   denigr   1
d718bd95   denis   23
9e1c5396   denisa   3
9dd720aa   denn   1
0b6be9c1   denni   8
2eae6010   denomin   1
cffa2d05   denounc   16
3e8afcd7   dens   6
3bdabbc9   dent   2
822dc802   dental   1
5f2ec234   denver   25
14d84adf   depart   300
4928f35d   departur   21
9048044b   depend   42
e3e6c713   depict   1
d16b14d6   deplan   1
de47abf0   deplet   2
20c7cda7   deploi   15
31d797c0   deplor   3
501cdceb   deploy   10
3e575cd5   deport   4
2ea39b68   deportieren   1
2be0f767   depos   7
41a1b214   deposit   4
2eb0b079   depot   4
73f72187   depress   4
1159d921   depriv   1
dcbd74b6   dept   1
a8775fe8   depth   20
7d40a85d   deputi   50
460fe9aa   dequia   4
9741bbe1   derail   1
9bbbb27f   derelict   1
e86d5596   deriv   4
f0e49b69   desai   2
b15b3d28   descend   18
c1802c64   descent   9
9ce7f51d   describ   104
cfefdf7a   descript   9
4987a548   desegreg   1
66d85fb8   desert   46
08e3ddb1   deserv   15
55035496   deservedli   2
82780f55   design   48
dbafbd6a   designe   1
b3b78984   desir   17
9ecfe163   desist   3
c284c1b0   desk   8
6f73c011   desol   1
d89e64d9   despair   7
56a6779e   desper   44
6a02cb19   despic   12
1ad9da55   despis   3
1f899d4b   despit   131
b9364bae   despot   1
feeb38bb   destabil   4
a536642f   destin   10
8ed8c1fb   destini   1
b69fafee   destitut   1
9340fe38   destroi   72
e39bef74   destroy   261
43107974   destruct   33
7db95f03   desvid   1
ca8eea18   detach   4
251ed628   detain   39
ef93a262   detaine   2
c27c9566   detect   14
706f3500   detector   1
e5dfe07b   detent   13
dd92ee4e   deter   16
a4db8fe5   deterg   1
b76ab93e   deterior   11
192710a5   determin   125
bf6b5bbe   deterr   2
d1e7c476   detest   1
940f491d   deton   32
f328e084   detour   4
1c913b83   detritu   1
8d5f0d8e   detroit   4
dcd61f73   deuc   12
96c2b7df   deutch   31
c1df6540   deutsch   1
147dbccd   devast   72
a0904c3f   devastatingli   1
ac7f3a03   develop   119
301cda73   deviat   1
ef6fe3ca   devic   18
f9d1431b   devilish   1
9fb4f286   devis   1
3c5b637d   devot   15
2a00fa38   devour   2
21bbdcc7   devoutli   1
4f0b2513   dewat   2
bb45f6fa   dewin   2
e564395c   dhabi   4
80872c84   dhahran   12
9778e1c2   dharan   1
cc4bef44   dhingra   1
b392496d   dhrumal   1
01bca381   diabak   3
9a53037c   diagnos   5
506a70e9   diagnosi   1
f337ac94   diagnost   1
cf0dd42f   diagnostico   1
40ca2f77   diagram   1
b1da1938   dialect   1
d0e6c485   diallo   2
144f4cf5   dialo   3
99db8874   dialogu   9
c8d817bb   diamet   3
670564b8   diamond   5
913c001e   dian   2
accc7f51   diann   4
41650590   diari   2
66f7d4a7   diarrhea   3
3d911541   diaz   2
f5c937a9   dick   37
a720c05f   dickinson   1
b5eba4db   dictablanda   1
767ab844   dictadura   1
77d1be50   dictat   36
2b4f5a85   dictatori   3
47b50cd6   dictatorship   11
7b19ad01   diction   4
d73c0df0   dictionari   1
f43c1e9a   dictment   1
89e18d0a   diego   6
01e88ead   dienstbier   2
5fe567ba   diesel   2
9e10bf38   diet   3
a0fabfb1   differ   156
c25112cb   difficult   100
2bef0b5b   difficulti   23
047c2fa5   diffus   1
b5cf9189   dig   67
99fcba80   digest   1
90cc0a6c   digger   3
6254f801   digit   4
f3c168ae   dignitari   5
1fd00865   digniti   9
c7a7e034   dilapid   1
d313010f   dilemma   4
734a4ff4   dilfer   3
7a38064c   dilig   1
3b3c69d2   dilut   1
0b9527fa   dime   1
7b2429d6   dimens   2
4a8985af   diminish   5
823db700   diminut   1
a6a9a4e1   dimitr   4
1deb5a5a   dimitri   2
75418e24   dimmer   1
04bcc89b   dina   1
3d922b9e   dinar   4
d8cacc88   dine   8
1b7da233   dinghi   6
8a3da71c   dingi   1
0b4c01b9   dinh   2
35bc96c7   dinkic   18
92069046   dinner   11
c91a56ae   dioulo   1
c044c7db   dip   2
47101a34   diplomaci   10
889944cc   diplomat   85
364b083e   diplospeak   4
3033f157   dire   1
9b9c67c7   direct   95
b7c9d105   directli   40
75866010   director   123
cc597fce   directrelief   1
3114e792   diring   1
23134ae3   dirksen   1
f7f5211f   dirt   59
1ee7306a   dirti   12
8a8fa646   dirtiest   1
244368a4   disabl   4
2b12c9a3   disadvantag   1
7c5eeca0   disaffect   1
2bd8ca43   disagr   4
19908af9   disagre   12
2b865f1c   disappear   28
676dd4f0   disappoint   28
e6834478   disapprov   1
80c5f8b0   disarm   1
1596685c   disarma   2
6db8d20c   disarrai   2
84845ce1   disassembl   1
232f390c   disast   112
a6dee254   disastr   8
3a2dd246   disband   6
049275a4   disbar   4
2cd891ba   disbelief   5
5ebf6e9f   disc   1
654e8245   discard   2
34b3fb6d   discharg   4
a539715d   disciplin   13
9ff8dfc8   disciplinari   6
87878f12   disclos   13
48c49096   disclosur   9
99c30815   discomfort   4
d7e3b8dc   discont   2
39613e5a   discontinu   1
4fc1944f   discord   2
9a2e65dc   discothequ   1
7233fef5   discount   1
89571af0   discourag   9
abb437d9   discov   40
c80ed8d6   discoveri   14
35667d3b   discovi   1
b70a8f7e   discredit   10
9884b1be   discreet   1
593bea22   discrep   4
854dee31   discret   4
a11b1697   discrimin   6
a07e25df   discuss   85
4ae1789e   disdain   4
26c8bfa5   diseas   10
e735db16   disenfranchis   3
2761c784   disgaz   1
5cab695a   disgrac   12
3e21728f   disgruntl   6
eb743b99   disguis   9
a06297bd   disgust   1
3f7425b4   dish   1
4d863256   dishdasha   1
512507e7   dishearten   2
4c49b9b6   dishonor   2
589e58a2   disillus   2
ba324538   disinfect   5
3c7ea199   disinform   1
db5be92c   disintegr   11
0375f34a   dislik   1
1d272d89   disloc   2
42a53852   dislodg   2
b8a1e1c8   dismai   3
d3ca24df   dismal   1
7cad287e   dismantl   10
26ebb5cc   dismemb   1
229c0df2   dismiss   40
c1b17d87   disobedi   16
a5ba2798   disord   3
763ceaa9   disori   2
7a034eba   dispar   4
2beee06d   disparag   2
8b268ef1   dispatch   34
a959f58f   dispel   2
2911e858   dispens   1
c1e8d587   dispers   13
ce3f63a6   displac   2
18e9e989   displai   29
da820673   displeas   1
1f4ff46b   displeasur   1
39e211d1   dispos   12
8100279e   disposit   1
7b34b585   disprov   2
72f4bdf5   disput   40
2d67123c   disqualifi   9
c16d5cba   disquiet   1
408294b5   disregard   5
29739994   disreput   1
61462fdb   disrespect   2
62c6f098   disrupt   9
6550ad3b   dissect   1
3952c774   dissemin   5
42f3d826   dissent   7
6323f864   dissid   6
cf8eed3b   dissip   1
156bdc82   dissolv   13
1f569298   dissuas   1
40346e6f   distanc   16
35bf383d   distant   7
50887341   distinct   8
25035529   distinctli   1
6a497b14   distinguish   8
f7c913e8   distort   6
3aac3424   distract   9
c491c6c1   distraught   13
30d5402d   distress   4
1d24e7d7   distribut   30
02c8f12a   district   44
454d8d2e   distrust   1
73aa7aae   disturb   9
40dab6a7   disun   2
d2f4bc4d   ditch   5
9912d512   dive   23
dc1f40c8   diver   192
54da9d67   divers   8
12a36bad   diversifi   1
518ada79   divert   8
e5ebbb51   divid   42
9060ed03   divis   31
123cf826   divorc   3
6fd8cd5a   divulg   4
bf0df191   dixon   4
24fad7dd   dixvil   1
d27f6b0b   dizzi   2
5c50099c   djahouri   1
264c6c73   djibouti   26
261404b2   djikal   1
483970a7   djila   3
f8e706bf   djindjic   37
f2fca6cc   djukanov   5
f1e01cf0   djuro   2
447bdc2a   dmitri   12
7972fc76   dmon   1
7dfcd8a4   dna   5
0bcc99b9   dnevnik   1
83d7d31a   doan   2
7cea9c25   dobrica   1
0a2170b5   dochterman   1
e722e4ad   dock   55
9fe18393   docksid   2
a82c4897   doctor   88
630c3d88   doctorswithoutbord   1
0cd0adaf   doctrin   1
a8362174   document   63
22ea8f98   documentari   1
f9c727af   dodg   1
60643cd1   dodgi   3
7d4bc565   doe   120
3eb6ea26   doer   1
1370476c   dog   50
cb167388   dogged   1
7f35552c   doggedli   1
b0e8cd7a   doha   1
ef6de69a   dokic   29
ca4f240e   doll   2
751af10e   dollar   57
5d45ac79   dolphin   2
27f9b629   domain   2
197ef4fe   dome   2
d300a477   domest   19
2e00f8af   domin   47
901aebf5   dominican   1
b78d24f1   dominik   16
94b4a9fe   dominikov   4
c1500ccd   dominion   2
372799d5   dominiqu   2
d2fe7d14   domino   3
ea7d76f1   donald   39
457c2e44   donaldson   2
53bb4244   donat   29
a41a9d85   dong   1
81449e95   donkei   2
603611a2   donna   2
7131e184   donnel   4
150a5a31   donor   11
ba477389   dooda   2
ae0d0e78   doom   9
636b500c   door   68
993dea9c   doorwai   2
6c70bc3e   dopher   4
feae2640   dora   1
236f2fd4   dorcol   1
0262c4f3   doreen   1
46432e66   dori   1
74acbac4   dormitori   1
81c476c3   dorothi   3
fe193b81   dose   1
ab66bb36   dostoyevski   1
ba8d152d   dot   3
898b964d   doubl   70
41bd8f27   doubt   56
a2fd7ea3   doudou   1
369d6f6d   doug   2
a0df51a0   dougal   11
68059851   dougherti   2
54fae98c   dougla   2
2d2dbb36   dour   2
8bf90616   dove   1
007baf08   dover   28
63ab5620   dow   2
ab3303ef   downbeat   1
a3c24d27   downfal   19
cda3ccd6   downplai   3
effc8ae6   downpour   1
a7b0964a   downstair   2
f16e9043   downtown   34
95ae8892   dows   1
7e02da36   doyal   2
709b6ad9   doze   1
30ed1578   dozen   132
a64de0f6   dozo   1
b4fcec22   dpko   1
12433ac7   dpmo   4
c8c6bf32   dr   8
c5c11640   draconian   2
9f8525d6   draft   19
5f95ef2d   drag   16
6c68f089   dragan   8
8ae73ea2   dragana   1
a26d78a8   dragesa   1
5cd4976b   dragisha   1
ab08bcf2   dragoljub   8
afcbaf2f   dragomir   2
98946ee6   dragon   3
11b53908   drain   9
05295275   drama   14
5a558484   draman   15
fc581fe7   dramat   33
ed67726b   drape   18
348648ad   draper   2
b3f1e4a4   draskov   15
d315a20c   drastic   1
2f4efe61   draw   62
f6d2f677   drawn   18
899299aa   dread   1
86625088   dream   21
e01c6c48   dress   25
f975e1ae   dresser   1
866fda24   drew   23
73d5e7af   drexel   1
2de8ed5d   dri   8
a7e1e0d8   drift   3
320a4398   drill   10
38c4f626   drink   15
785df1f5   drip   1
ab321ee2   drissa   3
73bc6180   drive   77
38b56c29   driven   17
2cf57150   driver   35
38df2c84   drivewai   1
49fe9f84   drizzl   1
e1a96dda   drizzli   1
dee22710   drop   62
c04de6a0   drought   2
6157b284   drove   25
dc5de07d   drown   6
8e445f6f   drub   1
559c6d2d   drudg   1
e52f9a78   drug   61
e8fa2301   drugli   1
33f91057   drum   1
04d8c4e1   drumbeat   3
daedbef4   drummer   3
6cdadb32   drunk   3
b2f407e9   drunken   1
5d33fc11   dry   10
35a69b38   drydock   1
c34b70b0   dtic   4
c5222d0a   duan   1
365d6941   dub   3
a4addd82   dubai   6
d992b610   dubiou   1
8687c9c2   duboc   1
8140a845   duc   7
a1d71abd   duck   4
6cb144c9   duct   6
d7754485   dudlei   32
02388b46   duel   3
530bef23   duffel   2
c26170b2   duffi   7
a90ab5a5   duffl   1
5d36ac56   dug   27
e14aced1   duglon   1
5e230509   duguid   2
f934dc0b   duke   1
8cbada1e   dull   2
6aaab0a8   duluth   2
83fd0efd   duma   1
443bdeb5   dump   13
e5dba470   duo   1
28a19b77   duopoli   1
6bb32ee3   dupe   1
5ca043ee   duplic   1
8c06dd14   durango   2
642ddc43   dure   426
04ddbe2b   duress   1
5699c880   dusan   1
b24c4bad   dusk   2
7f2a15d9   dust   19
35b2e319   dusti   14
7e0db73f   dutch   4
a6090693   duti   30
a3bcf08f   duval   2
89095b66   dwarf   1
a40a7c31   dwell   2
7eed51dd   dweller   3
409b2922   dwight   2
cc074188   dwindl   11
04ed9f0d   dwyer   1
a90df419   dy   18
c86f4290   dye   2
a3f686ce   dygalo   5
53d9611d   dynam   6
49cb5f49   dynamit   8
84e93b2e   dynasti   3
2647c2c4   dysfunct   1
ac84f564   eager   18
d646fc20   eagl   1
b5972748   eagleton   2
8852526d   eaker   1
90f2b412   eant   1
7b90d559   ear   7
de67ff8c   eardrum   2
d8c0ce40   earli   217
cb5b3c00   earlier   225
ac2105ac   earliest   8
526bd29b   earmark   8
de0612ae   earn   24
31cc805a   earnest   5
612ca423   earshot   1
2e0516de   earth   42
af14296a   earthmov   3
7f1b49d9   earthquak   265
cc8d145d   eas   27
07974c62   easi   37
62283cb7   easier   13
d7550f0f   easiest   2
fdba3788   easili   30
e826dcd6   easlei   1
a4ca901f   east   198
b6faeb10   eastern   46
c9dd5343   eat   16
41f90b02   eaten   3
3f90d30e   eavesdrop   1
64dcb7ac   eb   3
d8142f67   ebb   5
52a33cb2   ebri   1
136512af   eccel   1
bf146cd1   echeverria   2
29048993   echo   28
6bcaf7b4   eclips   2
096df920   ecolog   1
3a4543fe   ecologist   1
7040ba2e   econolin   1
d1e2c20c   econom   133
b73c75c8   economi   101
19efe38d   economist   13
b039716f   ecstat   1
698338b6   ecuador   12
19de8050   ecuadorian   1
2ef85180   edberg   2
15c03c95   edg   52
b7734981   edgar   1
202f2b31   edict   1
8dd653e0   edific   1
6aba24b4   edikipa   1
c77cd5b7   edinburgh   1
7192c123   edit   16
923e6e53   editor   30
0d697124   editori   34
487c33ba   edmond   37
0e89cdaa   edmund   35
b9b53136   edmundo   1
bc3d6ed4   edt   14
23bfe661   eduard   1
41c3c66b   eduardo   1
ece0aaae   educ   56
fa97fcdd   edward   6
5b0cdcf9   edwardo   1
81b8966f   edwin   5
618cf0b2   ee   3
c7e437b7   eeri   2
c9a3ae74   eerili   1
57dca4ed   effect   88
d057df99   effici   6
aebb9822   effort   256
7e163b14   effortlessli   1
c69fd7e7   egg   6
3b25cb01   egoavil   3
7145f110   egotist   2
76a6b017   egregi   2
fe916c2e   egypt   32
39073969   egyptian   44
cd664ab9   ehud   8
0517fc87   ei   6
6e617b06   eighteen   1
2cb53fdd   eighth   24
9ba8fed9   eighti   5
406c730a   eisenhow   3
d2058901   eject   2
5586299b   ekra   1
fc8234f2   elabor   24
2ec0a580   elana   1
014855d6   elast   1
1bb54ca7   elat   1
fa98749f   elayn   1
98e59fde   elbaum   2
b9624206   elbow   12
9d3fee3f   elder   6
e5836294   elderli   5
81a71c92   eldest   3
0e6166c1   elect   1078
6424e20c   elector   122
ece5eb67   electr   57
6d22c7fe   electrician   3
e00d746d   electrifi   1
9b084ab2   electrocut   1
555325ee   electron   14
1b693aa3   eleg   5
2b302ae1   element   23
7a2ecc0e   elementari   2
3272c787   elena   6
dcafeaeb   elev   4
5246d076   elia   5
50a2653a   eliac   1
3e459137   elier   2
e00b566c   elig   11
e9c6db9c   elimin   40
49f6042d   elit   7
546e02f3   elizabeth   8
b11b3648   ellen   5
9f4be5c7   elli   2
47106cbd   elliot   2
79e6fd0e   ellips   2
7cb6ba10   ellipt   1
4aea56c8   ellwood   1
4873bd3d   eln   4
b6023590   elong   1
eb2e6140   els   35
8a205493   elsewher   57
a46ac371   elton   2
d1d428be   elud   12
a45f7eec   elus   4
3a140fc5   eman   1
87eeb135   emanuel   1
32df74a3   embargo   33
ddb1dbba   embark   4
7b903cb0   embarrass   11
bd845fed   embassi   225
39d65ec8   embattl   9
fad8c7b1   embed   1
5445c70b   embellish   3
a598986b   emblemat   1
5ca58ae1   embrac   22
01283f43   embroil   1
df5c119e   emerg   139
8999a540   emerson   4
86410e4b   emigr   7
066cc546   emil   5
164df7d4   emili   2
5410cfd0   emilio   2
6857474f   emin   2
7c175a36   emir   8
8be6ba1a   emiss   1
cbc04287   emissari   3
ce5adc2c   emit   1
7311b842   emkne   1
48a3ff7e   emmanuel   3
68e50ac9   emot   48
0fc04743   emotion   8
4c237eab   empathet   1
ac856e11   empathi   1
d04cdd39   emperor   4
108e6bf6   emphas   10
68d62bc7   emphasi   8
15de2ce8   emphat   5
bdbd0736   empir   7
5ecd0cfd   emploi   15
2e161db1   employ   4
7e537eae   employe   79
706914c4   empow   2
5343dc64   empt   1
9895795c   empti   14
ee95f899   emul   3
df0c1ec2   enabl   10
cbfb1e7a   enact   4
4d308c76   encircl   1
a2f7e3d2   enclos   1
8c8d45ac   encor   1
eb8604c4   encount   16
aebe5cda   encourag   38
1a1f124b   endang   5
352023aa   endear   1
8fcbbef0   endeavor   3
8971aaf7   endem   1
74c42cc1   endors   14
578ca593   endur   18
80e83e6f   enemi   67
b1ee66fe   energ   3
9624143e   energet   1
d09a43ec   energi   33
dd372731   enforc   68
7f736d9f   engag   27
b1394421   engend   2
22c0ec37   engin   73
1f6752c9   engineerman   2
dd9cd43e   engineman   2
1a167ed2   england   2
72d193e4   english   21
626bd1c1   engrav   1
a054be95   engulf   7
c9bd09dd   enhanc   6
9d47d540   enigmat   1
225502c4   enjoi   21
93e2076d   enjoin   1
f87ec56d   enlarg   5
b5264bf0   enlist   14
322a9c5c   enmesh   1
db9f3566   enmiti   2
510598dc   enorm   29
834e561e   enqvist   2
94a55d84   enrag   2
c72c1657   enrich   1
4fc01cb4   ensembl   2
6bdad9d4   ensign   6
4c62194d   ensnar   2
bef49f10   ensu   9
c878bbfb   ensul   1
b203248b   ensur   35
a28782a0   entail   1
a2b25ea6   entangl   2
34df7e9e   enter   77
b6092ce8   enterpris   4
e925e6f6   entertain   5
ca3a461c   enthusiasm   8
b5119e72   enthusiast   7
087bc219   entic   4
cfbd1251   entir   46
8ab0ca20   entireti   1
c5b0a6b4   entiti   2
aedb63a3   entitl   8
2b893ed3   entomb   4
f156c52d   entourag   3
f131ed5a   entranc   7
b0ab83fd   entrench   2
9e24c8f3   entrepreneur   3
03334473   entrepreneuri   2
e1854aec   entrepreneurship   5
4c2abade   entri   3
dcf8771f   entrust   2
f56b55b8   envelop   1
df54bffe   envi   1
da83495a   environ   9
a8268b38   environment   16
7866e011   environmentalist   3
76f96256   envis   2
a623c616   envisag   1
764b2fd0   envoi   8
1d37cfda   epa   3
68637f6b   epic   3
6fdc93ba   epicent   47
fdc026b3   epidem   2
bbcf610e   epiphani   1
dead4988   episcop   3
4a62d4a3   episod   2
a26261b8   equal   20
f3b7d5aa   equanim   1
e461344b   equip   104
54ddf9ce   equival   12
1407a6e0   er   2
12a93d7a   era   58
44a297ae   eras   11
7bb0770f   erect   8
47a3d649   erena   2
aa44355c   eri   4
663ace68   eric   6
3f676a7d   erinson   1
990d3750   erlang   1
6afc27f3   ernesto   4
ca928b70   erni   4
c5d55f93   erod   10
b05e09c1   eros   4
bb546f3b   err   1
35fa6593   errand   1
91a104b7   errat   8
c35001bb   erron   3
d7101cc2   error   88
cbbc4770   erupt   19
b975d0df   esam   1
1969221d   escal   10
0d293f64   escap   210
fc501f8a   escape   48
1e872b68   escort   13
1b3e5f6e   escud   4
8922a84d   especi   84
dfa61267   espehello   1
aa599c0e   espi   15
64f5c2b6   espionag   50
25bf6429   espitia   2
18141a14   espo   1
ac36c0d6   espous   1
02ca6d17   essai   4
16e5201f   essenc   3
77e3be4c   essenti   18
d5d8f0f3   est   1
c80c7171   establish   54
34d0ba6f   estat   20
19b82a8b   estim   91
ad4e5c61   estrada   1
42de6051   estrang   1
e15485ae   etar   1
531903b4   etat   7
9ab69abe   etcetera   1
ad3d8e04   ethan   2
2cf80bbf   ethic   7
e918f4b6   ethiopia   1
0e2629b1   ethnic   72
fc4862c9   ethnocentr   2
ff0e18cf   etoge   1
1157e1fe   eu   16
86ec92b6   eucom   1
1ea50996   eugen   4
fd19d692   eulog   1
238b1dc5   eulogi   3
59660f5f   euphor   1
8cef1edc   euphoria   6
d2d51cd7   europ   88
a0e457a9   european   83
c871a2f3   ev   71
d5532170   evacu   28
2d9ba3fb   evad   8
fd6ea6cd   evalu   15
fb4d29d4   evan   11
ef3497f1   evanel   1
92d52ebc   evapor   4
5810f5a9   evas   16
62e36c58   evelyn   2
4d1fea17   evenh   1
0a3fab5d   evenhand   1
0f91f6c2   evenli   6
595ff76e   event   105
5a09f221   eventu   48
a086ec90   everett   1
12fb16cc   everi   109
79866fc1   eversinc   1
b1a6cab1   evert   29
78b22f75   everybodi   25
f7a7ed1e   everydai   10
c012a80f   everyon   66
e0d8dcfd   everyth   98
31dfeb92   everywher   19
03651119   evi   4
5a2a257a   evict   2
7fd8eb71   evid   187
6186b7ae   evidenc   1
c735e357   evil   2
dc377a8a   evoc   1
64da72ac   evok   1
ec3c6bb1   evolut   3
7f6c63f7   ew   4
c2d12ccf   ex   55
83df90ab   exacerb   1
b4b2e54d   exact   8
f21746e3   exactli   40
91f45bbf   exagger   7
9c8f62f0   exalt   1
08e47cd3   exam   4
6cd317c6   examin   59
9ff19587   exampl   62
d21a3b2c   exasper   2
db4e24e7   excav   17
bf978655   exce   4
a02b2e94   exceed   1
2c2a4337   exceedingli   1
d4629bc1   excel   6
6df38117   excerpt   6
6084ff33   excess   3
621a8d6f   exchang   25
e736ee64   excit   13
cbfe3d0b   exclaim   1
b932defc   exclam   2
0c78628b   exclud   31
79f334d9   exclus   20
7ccf3646   exclusion   2
d3034ee5   exclusionari   1
53fe7ae6   excruci   1
0a9f94a5   excus   9
0de4520c   execut   96
100c0f9c   exemplari   1
92d2bfc7   exemplifi   1
528b7991   exempt   2
5341ec04   exercis   34
bf086a86   exhaust   29
1e59ea5d   exhibit   4
d4d832c7   exhilar   1
eb02486b   exhort   2
edbaf55d   exil   50
9f4d7153   exist   27
258cec37   exit   35
cdcff359   exocet   1
535efd74   exodu   3
dcf80a4b   exoner   1
f01a8cfc   expand   19
8591daae   expans   6
4d314cea   expatri   3
bbd08aaa   expect   254
f54fbf72   expectantli   1
62f399e0   expedi   2
096f1d1e   expedit   5
2d5f78de   expel   5
51bbc6fe   expenditur   2
9923b8a9   expens   23
d7d71e15   experi   63
74c1a110   experienc   8
748ac268   expert   151
97cada1e   expertis   8
ac468b61   expir   9
897ebb5e   explain   38
ad8bfe66   explan   13
3b72717e   explicit   4
56a8c957   explicitli   6
8fa1ea26   explod   58
05fc3637   exploit   7
4d377d70   explor   14
fa2abc74   explos   474
42b7b665   export   23
bde49c80   expos   8
0d06ffd0   express   91
e675c014   expuls   1
b4d9e5f3   exquisit   1
e9e41b87   extend   38
9c6f4dd5   extens   51
993f0acb   extent   28
b5ef9886   exterior   3
d7cbac77   extern   15
eed8389c   extinct   2
334281e4   extinguish   2
6c30a0f3   extol   2
47fb4319   extort   4
8b8e49cf   extra   27
84fc7ff9   extract   6
d7dde59e   extradit   45
66c11345   extraordinari   15
1be4e289   extraordinarili   2
52f2c44b   extravag   2
8287f045   extrem   22
a098b58c   extremist   25
734512b6   extric   2
88b349f0   exuber   1
bdaec0a4   exud   1
f0f58aea   exult   1
75ccedcb   ey   78
72acaf0c   eyadema   1
385565d6   eyal   1
75a3eb7b   eyebal   2
b582bddd   eyelid   1
a9499ac2   eyesburn   1
04008a80   eyewit   10
8d8ef6c2   eyewitnesss   1
6ea51fd3   fa   3
5b98ee1a   faa   1
ee53b363   fabiani   1
0375a727   fabric   5
4c2933ab   facad   4
1e256627   face   235
9a48eb58   facial   1
a6877307   facil   54
196dd268   facilit   4
c0023f10   factbook   8
99a24346   faction   14
4b991407   facto   2
c77d1f52   factor   27
ba21f351   factori   24
577b7234   factual   1
645ba910   fade   26
7c1df0cb   fadeyev   1
3ad2014f   fadhli   3
864ddb83   fagan   2
7682bd4a   fahrenheit   1
4c08152f   fail   131
12274b3e   failur   17
22f2d157   faint   6
f04a0d5e   faintli   1
36738a5f   fair   50
c2479867   fairfax   1
65866682   fairleigh   1
c4698d06   fairli   16
0f0de50d   faisal   1
78f42714   faith   13
c4546de6   faithless   1
4c662ead   fake   16
39e828b8   fall   85
a72a9ff7   fallen   35
d89b14af   fallout   1
57d3aab1   faln   2
f48e76cc   fals   39
394ebf08   falsif   1
6ba2dda6   falsifi   5
fbc6cd9d   falter   4
ead9f848   fame   7
0d1196b2   famer   1
007c5e6b   famili   326
5b6bdd04   familiar   23
559c6b86   famou   5
e625a122   fan   10
334b7332   fanci   1
f55ec87a   fanfar   2
a2db55bd   farawai   3
6332a8ff   farc   2
d17f2ee5   fare   1
b96b4229   farera   1
65dd4193   farewel   17
e90e293d   farid   1
7544d8ff   farina   4
0c3967ca   farinella   3
699226c3   farm   9
41174b41   farmer   8
4b261333   farmington   1
8d32d41f   farrier   1
33204121   fascin   5
138ba192   fascist   3
39559ab7   fashion   8
db68bd18   faso   10
ca78e77f   fast   26
398db18f   faster   11
ff8e9070   fastest   2
40283a41   fat   2
114bba95   fatal   9
7c88389b   fatalist   1
77c0f800   fate   34
066d1e87   father   114
d31adce8   fatherless   1
8b0f7338   fatigu   7
77e9f051   fatwa   1
79720ee3   fault   47
730f03f9   faulti   2
91950a89   favor   51
9da48a55   favorit   14
990e794c   faw   1
24b33674   fax   14
93aef770   fay   1
ad4f1363   fayettevil   1
302a0d4e   fbi   262
2e78d38d   fda   1
7882a0d2   fear   122
0e692645   fearfulli   1
9ae7482c   fearless   4
413e8cb0   feasibl   5
2be2c528   feast   1
cacf26c8   feat   8
d3901af4   featur   20
2b9f8952   feb   2
6aa14365   februari   3
99d20f48   fed   19
b7957ec1   feder   268
b8540b3d   federalist   1
4c260b8d   federico   11
2ecfce4c   fee   8
133513c1   feed   14
abd81be7   feel   184
63ee028d   feet   95
e240ecf3   fehn   4
0f31ee10   feign   1
cf3cae7c   feingold   2
858e9f85   feinstein   7
a2455d2f   felix   9
255a4abf   fell   79
065f0993   fellow   41
c66c1c9c   felon   9
2910e633   feloni   15
ed6c53d5   felt   100
db07d8fb   femal   14
dfb67e2b   feminist   1
9779f727   fenc   8
9229b039   fend   2
7c8adfd3   ferdinand   1
b8cb8a8a   ferment   1
ba108ea1   fernand   6
2a85a0f3   fernandez   1
d8cae35e   fernando   5
7b6282e0   feroci   1
9fdbf327   ferraro   1
7ecfdb0c   ferreira   3
1f7ffb77   ferrer   1
83699120   ferrero   20
ad327d6d   ferret   2
ad43e398   ferri   4
8c8ddbcc   fertil   3
5e10235a   fervor   5
d6ca8578   fest   1
9d1a2d73   festiv   8
