t_index    term   df
491f8309   akouedo   1
e97c9002   ala   11
ee357733   alabama   6
6a80d1af   alain   1
c6f1b2f4   alami   2
634fa296   alamoudi   2
b8f422b8   alan   7
2121604a   alarm   22
0b6f4594   alasan   1
eb0fb086   alaska   3
8a6059e2   alaskan   1
c2cc16f1   alassan   33
3621c949   albani   1
132dfdc6   albania   1
fde8fd9b   albanian   54
61374aec   albert   1
7ce78f9f   alberto   78
0fb066ee   albright   76
d2aac67f   album   1
d6a19b33   alce   3
2f643d66   alcohol   5
8b2b82dc   alehandr   1
1c7af1b5   alejandro   14
e7371373   aleksa   1
56673b45   aleksandar   6
05951b84   aler   1
42b8da23   alert   102
a4116b5f   alessio   4
d34391ab   alex   13
04d5b452   alexa   4
a51f49c4   alexand   13
36f918df   alexandria   2
13c37fbf   alexei   1
675139fa   alexeyev   3
cf48bd63   alexsand   1
02b469d9   alfonso   1
d6caf0f6   alfr   2
c1a33d5c   alfredo   1
4c9bdcc7   algeria   4
4aaa8abe   algerian   6
51919824   ali   50
570a250a   alia   2
d6a8f047   alibi   1
a986786e   alien   3
45028d4c   alight   1
a6188ace   align   5
3c06b0eb   alija   1
81dcaf25   alik   9
01f7af6d   alisan   2
32c8b10d   alisha   1
22817358   aliv   144
7d47f602   allafrica   2
29f46037   allah   2
faf709dd   allahabad   2
968f84fb   allahbad   1
9bb9e62d   allan   1
3d680b4a   alleg   91
eb6c3d5f   allegedli   26
72edff2f   allegi   1
37c88576   allei   3
3298c268   allen   53
52fdb986   allentown   1
39ebf4da   alleywai   4
9a0710bb   alli   152
3f9893f9   allianc   14
6557bbf8   alliz   1
c948e321   allot   1
106ea02c   allow   178
f7d51957   allud   2
825e4f05   allus   5
fe2b014f   alma   1
b18b6ed7   almagor   2
4c08bcd7   alon   42
c8f5841f   alongsid   41
5d18e6b0   alou   1
fc98d559   alpha   2
6e8373dc   alphabet   3
9de483b3   alpin   1
28026909   alreadi   209
6e749002   alter   9
b8732ab8   altern   21
49902dd6   altitud   2
08a48135   altogeth   4
baa1c64c   aluminum   2
024e57ed   alun   6
5fb08722   alwai   121
e98e7096   amad   3
9de7cf67   amanda   17
9f6f9ba2   amarillo   2
ed4b7865   amartej   3
5e8d14fc   amaru   8
30018b34   amass   4
1de68dc3   amateur   2
93f5efe6   amaz   10
c8094447   amazingli   1
b6363647   ambassador   62
8aff62b4   ambersag   3
19e04d2f   ambigu   1
f2e24e12   ambit   8
cd64ea34   ambiti   2
a8d1f58c   ambival   2
d22d6aa7   ambul   14
5419c913   ambush   1
b118a4fd   ameli   6
6d009b6c   amend   2
eec73341   amerasian   1
7a0ee49e   america   179
42c741dc   american   836
e3b938e1   americorp   1
3a4d40f2   amh   1
8d5081f6   ami   2
4f65f041   amiabl   2
be9d7f02   amic   1
bbcd381c   amid   57
1eef021c   amidship   2
6d1bb233   amin   1
cb162950   amit   1
ab8f53f0   amman   2
73275772   ammo   1
b81e03e7   ammonium   1
c4ddeab7   ammunit   25
385ac8d5   amnesia   2
b48fe4fe   amnesti   2
f27b5998   amp   6
6c553a32   amphibi   4
9e393072   ampl   2
5ace94e6   ampli   1
c038eb0b   amplifi   1
648a48d3   amput   15
e6e262a2   ana   12
afdfd16d   anacostia   1
969b2af7   analges   1
37474c5d   analog   1
dff5aa76   analysi   10
7ca8760b   analyst   54
213e17d5   analyz   5
2bdff3bd   anarch   2
eba86bfc   anathema   1
2fc5dbcc   anatoli   10
048e2e23   anca   4
0cdb9f93   ancestor   3
256bd69c   ancestr   25
29f3e1f9   ancestri   1
e96de0bd   anchor   10
55661df9   anchorag   3
5217ba7b   anchorman   3
b497fd20   ancient   5
c1559ebf   andean   6
52643c72   anderson   11
c61de932   andi   5
253039b9   andjelkov   2
f8e59fdf   andoslavia   1
d70db355   andr   58
304674da   andrea   24
88ab7cfc   andrei   2
f2d0e38c   andrew   20
1df2923a   andrik   3
60a76f90   anew   7
341af6d1   angel   22
4e6169a1   anger   55
7e29c757   angl   13
12203d4b   anglican   1
3694ade1   angri   30
780609ba   angrili   4
9f439c0f   anguish   9
5e0f6a84   ani   497
3dc8983c   anim   2
bdfd788b   animist   2
16de6bfa   animos   11
552a688b   anjai   1
9e9b3104   anjana   2
443a32ec   anjar   10
3034e88d   ank   2
854bab98   ankl   9
5b5f2d9a   ann   11
232d5b3e   anna   21
6a81b666   annabel   1
decb5644   annacon   1
4cc84d92   annan   19
4986ac1a   anniversari   16
bd6494e3   annoi   1
6553de87   announc   229
cdbf85af   annoy   1
0c1666ee   annual   18
9849bace   annul   16
842e59e7   anomali   1
8c10f5bd   anonym   75
1f527f0e   anoth   338
ca760a76   answer   59
d2bf1513   antagon   1
809bd895   antasiaovich   1
0947ab8a   antenna   2
b1059208   anthem   6
8e4809f4   anthoni   27
67892149   anthropologist   4
d586b822   anti   113
135e8c1c   antiballist   1
a3ff1121   antibiot   5
1851d478   anticip   19
c8e41356   anticlimact   1
a08994f8   antonia   7
1d34dbc0   antonin   1
aa291ac4   antonio   29
9788c7f9   anwar   4
c42de67e   anxieti   3
ac96f6cc   anxiou   12
88dc10c2   anxious   2
08c653b3   anybodi   18
02eebe09   anymor   11
5dbb52e5   anyon   60
7d712617   anyth   120
a637a18a   anytim   4
a1f78411   anywai   14
41ab9754   anywher   18
879e3448   aon   1
964de6d8   apec   6
875dbcbf   apex   1
7dbc18b0   apolit   1
72fe9c14   apolog   25
0d654242   appal   1
c188de4e   appallingli   1
771edd32   appar   236
00ffc32b   apparatu   8
9a4a284d   appeal   119
e031b73d   appear   270
a4446607   appel   1
4a714be3   appetit   2
4d8bc567   appl   5
8487d04e   applaud   10
f10c861c   applaus   9
a88edd7c   appleton   3
41adf248   appli   18
